michelin_id,entity_id
560365,food:sfa:083bdd57b028761e4f642350
1195719,food:sfa:aae046853bf59f6a804edb44
1195654,food:sfa:cc657d8a0d5fd759e1cd4f72
1216068,food:sfa:c5e14f49bc317c0dc2f3c7bf
1216040,food:sfa:a00d1aba5a2c06ee99da8203
1247295,food:sfa:1b51a251f3214d340c773061
1216065,food:sfa:235e4c9cfd992071a9c9dd6b
501505,food:sfa:a966986d063fccbf7e346603
1213251,food:sfa:120033b643aed545381f8137
1190293,food:sfa:b8995d688d0213a24f248f72
501821,food:sfa:89162e750ea059e4ec2661ef
501820,food:sfa:770c78abc5baacfed1eba0b5
1189608,food:sfa:6a3c4bb38496ea8e90a20e8c
501365,food:sfa:8b3ce9a998c1058ac3910445
1201488,food:sfa:5c86ba2a94a7e13c05935511
501831,food:sfa:d81e8e197bc58e98d604fb35
1213099,food:sfa:1e2f2e1988f8151cfbe606bf
1248117,food:sfa:98af4064dd596d5b7cff2481
